Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3KNZghCZmKhBqSda8g1Ubl,"6S4WAihWktrOYeJdslsjcM","Etre prêtre et aimer une femme","Notre dame de paris - version intégrale - acte 2","Daniel Lavoie",2005-09-01,215200,27,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"auteur-compositeur-interprete quebecois,chanson,classic french pop",0.426,0.333,3,-11.324,1,0.0329,0.881,0.0000943,0.704,0.105,92.624,4
0rxuI2oV0Lp9ltFEsv0Ty9,"3CoYG5pUuCzGnXzPoOkaNY","La monture","Notre dame de paris - version intégrale - acte 2","Julie Zenatti",2005-09-01,139560,29,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"chanson,french pop",0.332,0.422,7,-10.877,0,0.0619,0.79,0.00243,0.933,0.184,172.694,4
5dJa5BlPY9EtOh1BPWKVwr,"7quDJwv2BxxaCkzeuLXzT2","Lune","Notre dame de paris - version intégrale - acte 2","Bruno Pelletier",2005-09-01,193533,30,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"comedie musicale",0.447,0.258,0,-11.69,1,0.0289,0.861,0.000471,0.698,0.103,142.039,4
2ZGl2RZgnkvO2gcmMrrORn,"18PkzXDURSTyGZTg9w66qq,1oXtLNYfNMQLxWsatCTCCn,6S4WAihWktrOYeJdslsjcM","Belle","Notre Dame de Paris - Version intégrale, acte 1","Patrick Fiori,Garou,Daniel Lavoie",2005-09-01,294373,42,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"chanson,french pop,auteur-compositeur-interprete quebecois,classic french pop",0.52,0.432,0,-9.59,0,0.0356,0.507,0,0.698,0.26,81.984,4
6KoolqHOo79c4lTmAko7NQ,"7quDJwv2BxxaCkzeuLXzT2","Le temps des cathédrales","Notre Dame de Paris - Version intégrale, acte 1","Bruno Pelletier",2005-09-01,202733,43,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"comedie musicale",0.466,0.436,0,-9.204,0,0.0397,0.531,0,0.699,0.214,73.874,3
7bcy34fBT2ap1L4bfPsl9q,"6qqNVTkY8uBg9cP3Jd7DAH","I Didn't Change My Number","Happier Than Ever","Billie Eilish",2021-07-30,158463,75,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"art pop,pop",0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021,4
3YUMWmx8EJq0DurfuIwoGh,"6qqNVTkY8uBg9cP3Jd7DAH","my future","Happier Than Ever","Billie Eilish",2021-07-30,210005,72,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"art pop,pop",0.456,0.285,8,-10.755,1,0.0979,0.814,0.143,0.307,0.0809,104.89,4
5KbTBSGUvgDg75gIVhUaAW,"3XxNRirzbjfLdDli06zMaB","Jealous","Let's Skip to the Wedding","Eyedress",2020-08-07,122338,0,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"noise pop,pov: indie",0.474,0.91,9,-10.431,0,0.0462,0.00498,0.859,0.476,0.745,93.01,4
3jfZ9M23l0L7RxzYMTgBTv,"4jCIAMb0zEArF3GYEYzoDk","Looking Out for You","Looking Out for You","Joy Again",2016-01-15,179499,82,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"pov: indie",0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,4
0zMAvsQmaQ4DGsmXtKixpn,"0e86yPdC41PGRkLp2Q1Bph","Burning Pile","O My Heart","Mother Mother",2008-09-23,262173,53,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"canadian indie rock,pov: indie,vancouver indie",0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,4
